latitude	longitude	timestamp	realtime
-22.96301369851762	-43.181541905820644	47231	12:16:55
-22.96370110492164	-43.18090306706834	68434	12:17:16
-22.96422268163982	-43.1807510830607	82052	12:17:30
-22.96453641487364	-43.18110554631155	108870	12:17:56
-22.965115400828378	-43.18227705944088	192017	12:19:20
-22.96534677608944	-43.18275277887391	200491	12:19:28
-22.965597895482986	-43.18330873474015	206043	12:19:34
-22.965815397505953	-43.1837590785937	210920	12:19:38
-22.966300538852273	-43.18422979802975	217692	12:19:45
-22.96673726204781	-43.1850498173325	228543	12:19:56
-22.966913453135334	-43.18566655561199	240162	12:20:08
-22.96753280682835	-43.18703850785128	273450	12:20:41
-22.967748873680375	-43.1877531203502	337185	12:21:45
-22.967804371893763	-43.18783745029072	340268	12:21:48
-22.96721618631783	-43.188562774226526	388137	12:22:36
-22.966731246961935	-43.18894382573607	393840	12:22:41
-22.9674411	-43.1885215	396180	12:22:44
-22.966273611079846	-43.18932111994962	398743	12:22:46
-22.964675435459533	-43.19055271399926	418195	12:23:06
-22.964366849871418	-43.191279066865796	452158	12:23:40
-22.96440149636825	-43.19134049258043	453664	12:23:41
-22.96457780948149	-43.191506532501556	462034	12:23:50
-22.964716591827422	-43.1916710337926	468032	12:23:56
-22.965488041695895	-43.191669855890574	491024	12:24:19
